Designator,Mid X,Mid Y,Layer,Rotation
C1,12.5000,-23.5000,Top,0
C4,17.5000,-30.0000,Top,0
D2,17.5000,-26.5000,Top,0
Q1,53.0000,-25.5000,Top,180
R1,53.0000,-30.5000,Top,0
R2,47.5000,-24.5000,Top,0
R3,47.5000,-28.0000,Top,0
R4,42.5000,-24.5000,Top,0
R6,22.5000,-23.5000,Top,0
