Designator,Mid X,Mid Y,Layer,Rotation
C1,12.5000,-23.5000,Top,0
C4,17.5000,-30.0000,Top,0
D2,17.5000,-26.5000,Top,0
J1,62.5000,-11.0000,Top,180
J4,3.0000,-3.6000,Top,90
J5,24.5000,-46.5000,Top,90
J6,33.5000,-46.5000,Top,90
J7,15.5000,-46.5000,Top,90
J8,4.0000,-46.5000,Top,90
Q1,53.0000,-25.5000,Top,180
R1,53.0000,-30.5000,Top,0
R2,47.5000,-24.5000,Top,0
R3,47.5000,-28.0000,Top,0
R4,42.5000,-24.5000,Top,0
R6,22.5000,-23.5000,Top,0
